
15667 atoms 
5 atom types 
7714 bonds 
1 bond types 
3857 angles 
1 angle types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 135.00000000 zlo zhi
0.00000000 0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Bond Coeffs # harmonic 

1 0.9572 

Angle Coeffs # harmonic 

1 104.52 

Atoms 

1 2 2 -0.60000000 36.79199999  61.07064494 78.66600000
2 3 2 -0.60000000 36.79199999  61.07064494 86.19000000
3 4 2 -0.60000000 36.79199999  61.07064494 93.71400000
4 5 2 -0.60000000 36.79199999  61.07064494 101.23800000
5 6 2 -0.60000000 2.29949999  57.08779411 78.66600000
6 7 2 -0.60000000 2.29949999  57.08779411 86.19000000
7 8 2 -0.60000000 2.29949999  57.08779411 93.71400000
8 9 2 -0.60000000 2.29949999  57.08779411 101.23800000
9 10 2 -0.60000000 4.59899999  53.10494328 78.66600000
10 11 2 -0.60000000 4.59899999  53.10494328 86.19000000
11 12 2 -0.60000000 4.59899999  53.10494328 93.71400000
12 13 2 -0.60000000 4.59899999  53.10494328 101.23800000
13 14 2 -0.60000000 6.89849999  49.12209245 78.66600000
14 15 2 -0.60000000 6.89849999  49.12209245 86.19000000
15 16 2 -0.60000000 6.89849999  49.12209245 93.71400000
16 17 2 -0.60000000 6.89849999  49.12209245 101.23800000
17 18 2 -0.60000000 9.19799999  45.13924162 78.66600000
18 19 2 -0.60000000 9.19799999  45.13924162 86.19000000
19 20 2 -0.60000000 9.19799999  45.13924162 93.71400000
20 21 2 -0.60000000 9.19799999  45.13924162 101.23800000
21 22 2 -0.60000000 11.49750000  41.15639078 78.66600000
22 23 2 -0.60000000 11.49750000  41.15639078 86.19000000
23 24 2 -0.60000000 11.49750000  41.15639078 93.71400000
24 25 2 -0.60000000 11.49750000  41.15639078 101.23800000
25 26 2 -0.60000000 13.79700000  37.17353995 78.66600000
26 27 2 -0.60000000 13.79700000  37.17353995 86.19000000
27 28 2 -0.60000000 13.79700000  37.17353995 93.71400000
28 29 2 -0.60000000 13.79700000  37.17353995 101.23800000
29 30 2 -0.60000000 16.09650000  33.19068912 78.66600000
30 31 2 -0.60000000 16.09650000  33.19068912 86.19000000
31 32 2 -0.60000000 16.09650000  33.19068912 93.71400000
32 33 2 -0.60000000 16.09650000  33.19068912 101.23800000
33 34 2 -0.60000000 18.39600000  29.20783829 78.66600000
34 35 2 -0.60000000 18.39600000  29.20783829 86.19000000
35 36 2 -0.60000000 18.39600000  29.20783829 93.71400000
36 37 2 -0.60000000 18.39600000  29.20783829 101.23800000
37 38 2 -0.60000000 20.69550000  25.22498746 78.66600000
38 39 2 -0.60000000 20.69550000  25.22498746 86.19000000
39 40 2 -0.60000000 20.69550000  25.22498746 93.71400000
40 41 2 -0.60000000 20.69550000  25.22498746 101.23800000
41 42 2 -0.60000000 22.99500000  21.24213663 78.66600000
42 43 2 -0.60000000 22.99500000  21.24213663 86.19000000
43 44 2 -0.60000000 22.99500000  21.24213663 93.71400000
44 45 2 -0.60000000 22.99500000  21.24213663 101.23800000
45 46 2 -0.60000000 25.29450000  17.25928579 78.66600000
46 47 2 -0.60000000 25.29450000  17.25928579 86.19000000
47 48 2 -0.60000000 25.29450000  17.25928579 93.71400000
48 49 2 -0.60000000 25.29450000  17.25928579 101.23800000
49 50 2 -0.60000000 27.59400000  13.27643496 78.66600000
50 51 2 -0.60000000 27.59400000  13.27643496 86.19000000
51 52 2 -0.60000000 27.59400000  13.27643496 93.71400000
52 53 2 -0.60000000 27.59400000  13.27643496 101.23800000
53 54 2 -0.60000000 29.89350000  9.29358413 78.66600000
54 55 2 -0.60000000 29.89350000  9.29358413 86.19000000
55 56 2 -0.60000000 29.89350000  9.29358413 93.71400000
56 57 2 -0.60000000 29.89350000  9.29358413 101.23800000
57 58 2 -0.60000000 32.19300000  5.31073330 78.66600000
58 59 2 -0.60000000 32.19300000  5.31073330 86.19000000
59 60 2 -0.60000000 32.19300000  5.31073330 93.71400000
60 61 2 -0.60000000 32.19300000  5.31073330 101.23800000
61 62 2 -0.60000000 34.49250000  1.32788247 78.66600000
62 63 2 -0.60000000 34.49250000  1.32788247 86.19000000
63 64 2 -0.60000000 34.49250000  1.32788247 93.71400000
64 65 2 -0.60000000 34.49250000  1.32788247 101.23800000
65 66 2 -0.60000000 32.19299999  61.07064494 78.66600000
66 67 2 -0.60000000 32.19299999  61.07064494 86.19000000
67 68 2 -0.60000000 32.19299999  61.07064494 93.71400000
68 69 2 -0.60000000 32.19299999  61.07064494 101.23800000
69 70 2 -0.60000000 34.49249999  57.08779411 78.66600000
70 71 2 -0.60000000 34.49249999  57.08779411 86.19000000
71 72 2 -0.60000000 34.49249999  57.08779411 93.71400000
72 73 2 -0.60000000 34.49249999  57.08779411 101.23800000
73 74 2 -0.60000000 36.79199999  53.10494328 78.66600000
74 75 2 -0.60000000 36.79199999  53.10494328 86.19000000
75 76 2 -0.60000000 36.79199999  53.10494328 93.71400000
76 77 2 -0.60000000 36.79199999  53.10494328 101.23800000
77 78 2 -0.60000000 2.29949999  49.12209245 78.66600000
78 79 2 -0.60000000 2.29949999  49.12209245 86.19000000
79 80 2 -0.60000000 2.29949999  49.12209245 93.71400000
80 81 2 -0.60000000 2.29949999  49.12209245 101.23800000
81 82 2 -0.60000000 4.59899999  45.13924162 78.66600000
82 83 2 -0.60000000 4.59899999  45.13924162 86.19000000
83 84 2 -0.60000000 4.59899999  45.13924162 93.71400000
84 85 2 -0.60000000 4.59899999  45.13924162 101.23800000
85 86 2 -0.60000000 6.89849999  41.15639078 78.66600000
86 87 2 -0.60000000 6.89849999  41.15639078 86.19000000
87 88 2 -0.60000000 6.89849999  41.15639078 93.71400000
88 89 2 -0.60000000 6.89849999  41.15639078 101.23800000
89 90 2 -0.60000000 9.19800000  37.17353995 78.66600000
90 91 2 -0.60000000 9.19800000  37.17353995 86.19000000
91 92 2 -0.60000000 9.19800000  37.17353995 93.71400000
92 93 2 -0.60000000 9.19800000  37.17353995 101.23800000
93 94 2 -0.60000000 11.49750000  33.19068912 78.66600000
94 95 2 -0.60000000 11.49750000  33.19068912 86.19000000
95 96 2 -0.60000000 11.49750000  33.19068912 93.71400000
96 97 2 -0.60000000 11.49750000  33.19068912 101.23800000
