
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

1 1 0.60000000 -0.00022995  2.65536665 4.70701440
2 1 0.60000000 -0.00022995  2.65536665 12.23101440
3 1 0.60000000 -0.00022995  2.65536665 19.75501440
4 1 0.60000000 -0.00022995  2.65536665 27.27901440
5 1 0.60000000 -2.29972995  6.63821748 4.70701440
6 1 0.60000000 -2.29972995  6.63821748 12.23101440
7 1 0.60000000 -2.29972995  6.63821748 19.75501440
8 1 0.60000000 -2.29972995  6.63821748 27.27901440
9 1 0.60000000 -4.59922995  10.62106831 4.70701440
10 1 0.60000000 -4.59922995  10.62106831 12.23101440
11 1 0.60000000 -4.59922995  10.62106831 19.75501440
12 1 0.60000000 -4.59922995  10.62106831 27.27901440
13 1 0.60000000 -6.89872995  14.60391915 4.70701440
14 1 0.60000000 -6.89872995  14.60391915 12.23101440
15 1 0.60000000 -6.89872995  14.60391915 19.75501440
16 1 0.60000000 -6.89872995  14.60391915 27.27901440
17 1 0.60000000 -9.19822995  18.58676998 4.70701440
18 1 0.60000000 -9.19822995  18.58676998 12.23101440
19 1 0.60000000 -9.19822995  18.58676998 19.75501440
20 1 0.60000000 -9.19822995  18.58676998 27.27901440
21 1 0.60000000 -11.49772995  22.56962081 4.70701440
22 1 0.60000000 -11.49772995  22.56962081 12.23101440
23 1 0.60000000 -11.49772995  22.56962081 19.75501440
24 1 0.60000000 -11.49772995  22.56962081 27.27901440
25 1 0.60000000 -13.79722995  26.55247164 4.70701440
26 1 0.60000000 -13.79722995  26.55247164 12.23101440
27 1 0.60000000 -13.79722995  26.55247164 19.75501440
28 1 0.60000000 -13.79722995  26.55247164 27.27901440
29 1 0.60000000 -16.09672995  30.53532247 4.70701440
30 1 0.60000000 -16.09672995  30.53532247 12.23101440
31 1 0.60000000 -16.09672995  30.53532247 19.75501440
32 1 0.60000000 -16.09672995  30.53532247 27.27901440
33 1 0.60000000 -18.39622995  34.51817330 4.70701440
34 1 0.60000000 -18.39622995  34.51817330 12.23101440
35 1 0.60000000 -18.39622995  34.51817330 19.75501440
36 1 0.60000000 -18.39622995  34.51817330 27.27901440
37 1 0.60000000 -20.69572995  38.50102414 4.70701440
38 1 0.60000000 -20.69572995  38.50102414 12.23101440
39 1 0.60000000 -20.69572995  38.50102414 19.75501440
40 1 0.60000000 -20.69572995  38.50102414 27.27901440
41 1 0.60000000 -22.99522995  42.48387497 4.70701440
42 1 0.60000000 -22.99522995  42.48387497 12.23101440
43 1 0.60000000 -22.99522995  42.48387497 19.75501440
44 1 0.60000000 -22.99522995  42.48387497 27.27901440
45 1 0.60000000 -25.29472996  46.46672580 4.70701440
46 1 0.60000000 -25.29472996  46.46672580 12.23101440
47 1 0.60000000 -25.29472996  46.46672580 19.75501440
48 1 0.60000000 -25.29472996  46.46672580 27.27901440
49 1 0.60000000 -27.59422996  50.44957663 4.70701440
50 1 0.60000000 -27.59422996  50.44957663 12.23101440
51 1 0.60000000 -27.59422996  50.44957663 19.75501440
52 1 0.60000000 -27.59422996  50.44957663 27.27901440
53 1 0.60000000 -29.89372996  54.43242746 4.70701440
54 1 0.60000000 -29.89372996  54.43242746 12.23101440
55 1 0.60000000 -29.89372996  54.43242746 19.75501440
56 1 0.60000000 -29.89372996  54.43242746 27.27901440
57 1 0.60000000 -32.19322996  58.41527829 4.70701440
58 1 0.60000000 -32.19322996  58.41527829 12.23101440
59 1 0.60000000 -32.19322996  58.41527829 19.75501440
60 1 0.60000000 -32.19322996  58.41527829 27.27901440
61 1 0.60000000 -34.49272996  62.39812913 4.70701440
62 1 0.60000000 -34.49272996  62.39812913 12.23101440
63 1 0.60000000 -34.49272996  62.39812913 19.75501440
64 1 0.60000000 -34.49272996  62.39812913 27.27901440
65 1 0.60000000 4.59877005  2.65536665 4.70701440
66 1 0.60000000 4.59877005  2.65536665 12.23101440
67 1 0.60000000 4.59877005  2.65536665 19.75501440
68 1 0.60000000 4.59877005  2.65536665 27.27901440
69 1 0.60000000 2.29927005  6.63821748 4.70701440
70 1 0.60000000 2.29927005  6.63821748 12.23101440
71 1 0.60000000 2.29927005  6.63821748 19.75501440
72 1 0.60000000 2.29927005  6.63821748 27.27901440
73 1 0.60000000 -0.00022995  10.62106831 4.70701440
74 1 0.60000000 -0.00022995  10.62106831 12.23101440
75 1 0.60000000 -0.00022995  10.62106831 19.75501440
76 1 0.60000000 -0.00022995  10.62106831 27.27901440
77 1 0.60000000 -2.29972995  14.60391915 4.70701440
78 1 0.60000000 -2.29972995  14.60391915 12.23101440
79 1 0.60000000 -2.29972995  14.60391915 19.75501440
80 1 0.60000000 -2.29972995  14.60391915 27.27901440
