
8112 atoms 
2 atom types 
5408 bonds 
1 bond types 
2704 angles 
1 angle types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
28.00000000 60.00000000 zlo zhi
0.00000000 0.00000000 0.00000000 xy xz yz

Masses 

1 15.9994 
2 1.008

Bond Coeffs # harmonic 

1  0.9572 

Angle Coeffs # harmonic 

1  104.52 

Atoms 

1 1 1 -0.84760000 23.30160000  21.37375853 30.00000000
2 1 2 0.42380000 22.54460000  21.95965853 30.00000000
3 1 2 0.42380000 24.05860000  21.95965853 30.00000000
4 2 1 -0.84760000 8.58480000  3.53058680 30.00000000
5 2 2 0.42380000 7.82780000  4.11648680 30.00000000
6 2 2 0.42380000 9.34180000  4.11648680 30.00000000
7 3 1 -0.84760000 6.13200000  57.06010198 30.00000000
8 3 2 0.42380000 5.37500000  57.64600198 30.00000000
9 3 2 0.42380000 6.88900000  57.64600198 30.00000000
10 4 1 -0.84760000 35.56560000  51.96205291 30.00000000
11 4 2 0.42380000 34.80860000  52.54795291 30.00000000
12 4 2 0.42380000 36.32260000  52.54795291 30.00000000
13 5 1 -0.84760000 25.75440000  23.92278306 30.00000000
14 5 2 0.42380000 24.99740000  24.50868306 30.00000000
15 5 2 0.42380000 26.51140000  24.50868306 30.00000000
16 6 1 -0.84760000 18.39600000  13.72668493 30.00000000
17 6 2 0.42380000 17.63900000  14.31258493 30.00000000
18 6 2 0.42380000 19.15300000  14.31258493 30.00000000
19 7 1 -0.84760000 1.22640000  51.96205291 30.00000000
20 7 2 0.42380000 0.46940000  52.54795291 30.00000000
21 7 2 0.42380000 1.98340000  52.54795291 30.00000000
22 8 1 -0.84760000 30.66000000  59.60912651 30.00000000
23 8 2 0.42380000 29.90300000  60.19502651 30.00000000
24 8 2 0.42380000 31.41700000  60.19502651 30.00000000
25 9 1 -0.84760000 30.66000000  41.76595478 30.00000000
26 9 2 0.42380000 29.90300000  42.35185478 30.00000000
27 9 2 0.42380000 31.41700000  42.35185478 30.00000000
28 10 1 -0.84760000 25.75440000  44.31497932 30.00000000
29 10 2 0.42380000 24.99740000  44.90087932 30.00000000
30 10 2 0.42380000 26.51140000  44.90087932 30.00000000
31 11 1 -0.84760000 3.67920000  18.82473399 30.00000000
32 11 2 0.42380000 2.92220000  19.41063399 30.00000000
33 11 2 0.42380000 4.43620000  19.41063399 30.00000000
34 12 1 -0.84760000 8.58480000  23.92278306 30.00000000
35 12 2 0.42380000 7.82780000  24.50868306 30.00000000
36 12 2 0.42380000 9.34180000  24.50868306 30.00000000
37 13 1 -0.84760000 28.20720000  6.07961133 30.00000000
38 13 2 0.42380000 27.45020000  6.66551133 30.00000000
39 13 2 0.42380000 28.96420000  6.66551133 30.00000000
40 14 1 -0.84760000 15.94320000  49.41302838 30.00000000
41 14 2 0.42380000 15.18620000  49.99892838 30.00000000
42 14 2 0.42380000 16.70020000  49.99892838 30.00000000
